# CLDR symbol names for uz: symbol, tts name, keywords
# cldr-version	48
# source	https://unicode.org/Public/cldr/48/cldr-common-48.zip
# sha256	06c7c698d6fd8d67cefac15a0206b0109b00e0ef1636f86f84449fa959561f74
# icu-version	78.3
# unicode-version	17.0
# Generated by tools/cldr_symbol_names.py; do not edit.
!	Undov belgisi	belgi | tinish belgisi | undov | Undov belgisi
#	panjara belgisi	funt | heshteg | panjara | panjara belgisi | raqam
$	dollar	dollar | peso | pul | valyuta
%	foiz	foiz | protsent
&	ampersand	ampersand | va
'	yozuv mashinkasi apostrofi	apostrof | bir tirnoq | tutuq belgisi | yozuv mashinkasi apostrofi
)	yopiluvchi qavs	qavs | qavsni yopish | yopiluvchi qavs
*	yulduzcha	asterisk | yulduz | yulduzcha
+	plus belgisi	plus | plus belgisi | qoʻshish
,	vergul	vergul
-	minus-chiziqcha	chiziqcha | minus | minus-chiziqcha | tire
.	nuqta	davr | nuqra | nuqta
/	qiya chiziq	qiya | qiya chiziq | slesh
:	ikki nuqta	ikki nuqta | ikki-nuqta
;	nuqtali vergul	nuqta-vergul | nuqtali vergul
<	kichik	kichik | kichikroq | taqqoslash | teg | tegni ochish
=	teng	barobar | teng
>	katta	katta | kattaroq | taqqoslash | teg | tegni yopish
?	soʻroq belgisi	soʻroq | soʻroq belgisi
@	at belgisi	at belgisi | kuchuk | kuchukcha | tijoriy at
[	ochiluvchi kvadrat qavs	kvadrat qavs | ochiluvchi kvadrat qavs | qavsni ochish
\	teskari qiya chiziq	bekslesh | chiziq | qiya | teskari
]	yopiluvchi kvadrat qavs	kvadrat qavs | qavsni yopish | yopiluvchi kvadrat qavs
^	simkumfleks	kuch | nazorat | simkumfleks | sirkumfleks | tom | urgʻu | uycha
_	pastki chiziqcha	liniya | pastki chiziq | pastki chiziqcha | pastki tire
`	gravis	gravis | urgʻu
{	ochiluvchi figurali qavs	figurali qavs | ochiluvchi figurali qavs | oqcharloq qanoti | qanotli qavs
|	vertikal chiziq	bar | ustun | vertikal chiziq | vertikal liniya
}	yopiluvchi figurali qavs	figurali qavs | oqcharloq qanoti | qanotli qavs | yopiluvchi figurali qavs
~	tilda	tilda | toʻlqinli chiziq
¡	teskari undov belgisi	belgi | teskari | teskari undov belgisi | tinish belgisi | undov | undov belgisi
¢	sent	sent
£	funt sterling	EGP | funt sterling | GBP | valyuta
¤	Noma’lum valyuta	
¥	yena	CNY | JPY | valyuta | yena | yuan
§	bo‘lim	bo‘lim | paragraf
¨	diyerezis	diyerezis | trema | umlaut
©	mualliflik huquqi	c | mualliflik huquqi
«	chap bosma qo‘shtirnoq	burchak | chap | chap bosma qo‘shtirnoq | ikkitali burchakli qo‘shtirnoq | kare belgisi | qavs | quote
¬	inkor	inkor | yoʻq
®	qayd qilingan	qayd qilingan | r
°	daraja	daraja | isbot | soat
±	plus-minus	plus-minus
²	satr ustidagi ikki soni	ikki soni | kvadrat belgisi | satr ustida | satr ustidagi ikki soni
