# CLDR symbol names for vi: symbol, tts name, keywords
# cldr-version	48
# source	https://unicode.org/Public/cldr/48/cldr-common-48.zip
# sha256	06c7c698d6fd8d67cefac15a0206b0109b00e0ef1636f86f84449fa959561f74
# Generated by tools/cldr_symbol_names.py; do not edit.
!	dấu chấm than	chấm than | dấu cảm | dấu chấm than
#	dấu thăng	dấu thăng | hashtag | số | thăng
$	đô la	đô la | peso | tiền | USD
%	phần trăm	dấu phần trăm | phần trăm
&	dấu và	dấu và | và
'	dấu móc lửng máy chữ	dấu móc lửng | dấu móc lửng máy chữ | dấu nháy | dấu nháy đơn
)	dấu ngoặc đơn đóng	dấu ngoặc | dấu ngoặc đơn | dấu ngoặc đơn đóng | ngoặc tròn
*	dấu hoa thị	dấu hoa thị | dấu sao | ký tự đại diện
+	dấu cộng	cộng | dấu cộng | thêm
,	dấu phẩy	dấu phẩy
-	dấu gạch nối-dấu trừ	dấu gạch ngang | dấu gạch nối | dấu gạch nối-dấu trừ | dấu trừ
.	dấu chấm	chấm câu | chấm hết | dấu chấm
/	dấu sổ chéo	chéo | dấu sổ chéo | gạch chéo | xiên
:	dấu hai chấm	dấu hai chấm
;	dấu chấm phẩy	dấu chấm phẩy
<	dấu nhỏ hơn	dấu nhỏ hơn | nhỏ hơn | thẻ | thẻ mở
=	dấu bằng	dấu bằng
>	dấu lớn hơn	dấu lớn hơn | lớn hơn | thẻ | thẻ đóng
?	dấu hỏi	dấu hỏi
@	a còng	a còng | ký hiệu a còng | ký hiệu a móc
[	dấu ngoặc vuông mở	dấu móc | dấu ngoặc | dấu ngoặc vuông | dấu ngoặc vuông mở
\	dấu sổ ngược	dấu sổ ngược | gạch chéo ngược | xiên ngược
]	dấu ngoặc vuông đóng	dấu móc | dấu ngoặc | dấu ngoặc vuông | dấu ngoặc vuông đóng
^	dấu mũ	con trỏ | dấu | dấu tuyển loại trừ | điều khiển | lũy thừa | mũ | nêm | nón
_	dấu gạch dưới	dấu gạch dưới | dòng | gạch chân | gạch dưới
`	dấu huyền	dấu | huyền | nốt
{	dấu ngoặc nhọn mở	dấu ngoặc | dấu ngoặc nhọn | dấu ngoặc nhọn mở
