# CLDR symbol names for xh: symbol, tts name, keywords
# cldr-version	48
# source	https://unicode.org/Public/cldr/48/cldr-common-48.zip
# sha256	06c7c698d6fd8d67cefac15a0206b0109b00e0ef1636f86f84449fa959561f74
# Generated by tools/cldr_symbol_names.py; do not edit.
¤	Ikharensi Engaziwayo	
©	ilungelo lokukopa	ilungelo lokukopa
®	ibhalisiwe	ibhalisiwe
֏	I-Dram yase Armenia	
؋	I-Afghani yase-Afghanistan	
৳	I-Taka yaseBangladesh	
฿	I-Baht yaseThailand	
៛	I-Riel yaseCambodia	
‼	uphawu lwesikhuzo ophindaphindeneyo	i-bangbang | isikhuzo | isiphumlisi | uphawu | uphawu lwesikhuzo ophindaphindeneyo
⁉	uphawu lombuzo lwesikhuzo	i-interrobang | isikhuzo | isiphumlisi | umbuzo | uphawu | uphawu lombuzo lwesikhuzo
₡	Costa Rican Colón	
₦	INaira yaseNigeria	
₪	I-New Shekel yase-Israel	
₫	I-Dong yaseVietnam	
₭	I-Kip yaseLaos	
₮	I-Tugrik yaseMongolia	
₲	I-Guarani yaseParaguay	
₴	I-Hryvnia yase-Ukraine	
₵	ICedi yaseGhana	
₸	I-Tenge yaseKhazakhstan	
₺	I-Lira yaseTurkey	
₼	I-Manat yase-Azerbeijan	
₾	I-Lari yaseGeorgia	
™	uphawu lorhwebo	i-tm | uphawu | uphawu lorhwebo
ℹ	inkcazelo	I | inkcazelo
↔	utolo olusekunene ekhohlo	utolo | utolo olusekunene ekhohlo
↕	utolo olusezantsi phezulu	utolo | utolo olusezantsi phezulu
↖	utolo olusekhohlo phezulu	entshona mntla | ukhardinale ohlangeneyo | ulwalathiso | utolo | utolo olusekhohlo phezulu
↗	utolo olujonge phezulu	empuma-mzantsi | ukhardinale | ulwalathiso | utolo | utolo olujonge phezulu
↘	utolo olujonge ezantsi	empuma mzantsi | ukhardinale ohlangeneyo | ulwalathiso | utolo | utolo olujonge ezantsi
↙	utolo olusezantsi ekhohlo	entshona mzantsi | ukhardinale ohlangeneyo | ulwalathiso | utolo | utolo olusezantsi ekhohlo
↩	utolo olusekunene olugobe ekhohlo	utolo | utolo olusekunene olugobe ekhohlo
↪	utolo olusekhohlo olugobe ekunene	utolo | utolo olusekhohlo olugobe ekunene
⌨	ikhibhodi	ikhibhodi | ikhompyutha
⏏	iqhosha lokukhupha	iqhosha lokukhupha | khupha
⏭	iqhosha lengoma elandelayo	ingoma elandelayo | iqhosha lengoma elandelayo | umboniso olandelayo | unxantathu | utolo
⏮	iqhosha lengoma yokugqibela	ingoma edlulileyo | iqhosha lengoma yokugqibela | umboniso odlulileyo | unxantathu | utolo
⏯	iqhosha lokudlala okanye lokunqumamisa	dlala | ekunene | iqhosha lokudlala okanye lokunqumamisa | nqumamisa | unxantathu | utolo
⏱	istophu-wotshi	istophu-wotshi | iwotshi
⏲	iwotshi yesibali-xesha	isibali-xesha | iwotshi | iwotshi yesibali-xesha
⏸	iqhosha lokunqumamisa	ibha | iqhosha lokunqumamisa | kabini | ngokuthe nkqo | nqumamisa
⏹	iqhosha lokumisa	iqhosha lokumisa | iskwere | misa
⏺	iqhosha lokurekhoda	iqhosha lokurekhoda | isangqa | rekhoda
Ⓜ	wenze isangqa M	isangqa | m | wenze isangqa M
▪	iskwere esincinane esimnyama	ijiyometriki | iskwere | iskwere esincinane esimnyama
▫	iskwere esincinane esimhlophe	ijiyometriki | iskwere | iskwere esincinane esimhlophe
▶	iqhosha lokudlala	dlala | ekunene | iqhosha | unxantathu | utolo
◀	iqhosha lokubuyisela emva	buyisela emva | ekhohlo | iqhosha lokubuyisela emva | unxantathu | utolo
◻	iskwere esiphakathi esimhlophe	ijiyometriki | iskwere | iskwere esiphakathi esimhlophe
◼	iskwere esiphakathi esimnyama	ijiyometriki | iskwere | iskwere esiphakathi esimnyama
☀	ilanga	ilanga | imitha | kunelanga | ngokukhanyayo
☁	ilifu	ilifu | imozulu
☂	isambreli	impahla | imvula | isambreli
☃	umntu wekhephu	ikhephu | ukubanda | umntu wekhephu
☄	i-comet	i-comet | isithuba
☎	ifowuni	ifowuni
☑	ibhokisi yebhalothi yokhetho	ibhalothi | ibhokisi | ibhokisi yebhalothi yokhetho | khetha
☘	i-shamrock	i-shamrock | isityalo
☝	isalathiso esalatha phezulu	isalathiso | isalathiso esalatha phezulu | isandla | phezulu | umnwe | yalatha
☠	ukakayi namathambo anqamlezileyo	amathambo anqamlezileyo | irhamncwa eloyikekayo | ubuso | ukakayi | ukakayi namathambo anqamlezileyo | ukufa
☢	i-radioactive	i-radioactive | uphawu
☣	i-biohazard	i-biohazard | uphawu
☦	umnqamlezo we-orthodox	Umkristu | umnqamlezo | umnqamlezo we-orthodox | unqulo
☪	inkwenkwezi neceba	i-islam | i-Muslim | inkwenkwezi neceba | unqulo
☮	isimboli yoxolo	isimboli yoxolo | uxolo
☯	i-yin yang	i-tao | i-taoist | i-yang | i-yin | i-yin yang | unqulo
☸	ivili le-dharma	ivili | UmBhuda | umdharma | unqulo
☹	ubuso obufinge iintshiya	ubuso | ubuso obufinge iintshiya | ukufinga iintshiya
☺	ubuso obuncumileyo	ibalaseliswe umphandle | ncuma | ubuso | ubuso obuncumileyo | uphumle
♀	uphawu lwebhinqa	ibhinqa | uphawu lwebhinqa
♂	uphawu lwendoda	indoda | uphawu lwendoda
♠	i-spade suit	i-spade suit | ikhadi | umdlalo
♣	isuti yeklabhu	ikhadi | isuti yeklabhu | umdlalo
♥	isuti yentliziyo	ikhadi | isuti yentliziyo | umdlalo
♦	isuti yedayimani	ikhadi | isuti yedayimani | umdlalo
♨	i-hot springs	eqhumayo | eshushu | i-hot springs | i-hotsprings | i-springs
♻	isimboli yokubuyisela kwimo yangaphambili	buyisela kwimo yangaphambili | isimboli yokubuyisela kwimo yangaphambili
⚒	ihamile nepeki	ihamile | ihamile nepeki | ipeki | isixhobo
⚔	amakrele anqamlezileyo	amakrele | amakrele anqamlezileyo | enqamlezileyo | isixhobo
⚕	isimboli yezonyango	abasebenzi | amayeza | i-aesculapius | isimboli yezonyango
⚖	iskali sokulinganisa	i-Libra | i-zodiac | ibhalansi | isixhobo | iskali sokulinganisa | izikali | okusesikweni | ubunzima
⚗	i-alembic	i-alembic | ikhemistri | isixhobo
⚙	igiyeri	igiyeri | isixhobo
⚛	isimboli yeatom	iatom | isimboli yeatom | umntu ongakholwayo kuThixo
⚜	i-fleur-de-lis	i-fleur-de-lis
⚠	isilumkiso	isilumkiso
⚰	ibhokisi	ibhokisi | ukufa
⚱	ingqayi yomngcwabo	ingqayi | ingqayi yomngcwabo | ukufa | umngcwabo
⛈	ilifu elinombane nemvula	ilifu | ilifu elinombane nemvula | imvula | indudumo
⛏	ipeki	ipeki | isixhobo | ukugrumba
