# CLDR symbol names for yo: symbol, tts name, keywords
# cldr-version	48
# source	https://unicode.org/Public/cldr/48/cldr-common-48.zip
# sha256	06c7c698d6fd8d67cefac15a0206b0109b00e0ef1636f86f84449fa959561f74
# Generated by tools/cldr_symbol_names.py; do not edit.
!	ami isele	ami isele | isele
#	àmì háàsṣì	àmì háàsì | àmì háàsṣì | háàsì | háàstaàgì | lb | nọ́nbà | pọ́ùn
$	dọ́là	dọ́là | owó | pẹ́sò | USD
%	pàsẹ́ntì	pà sẹ́ntì | pà-sẹ́ntì | pàsẹ́ntì
&	apesándì	apesándi | apesándì | ati
'	aposítofù itewé	aposítofù | aposítofù itewé | aposítofù ìtewé | koti | koti kan
)	paremtesì sunmo	búraketi | paremtesì sunmo | pareni | parentesi sunmo
*	asítẹ́ríìkì	asítẹ́ríìkì | ìràwọ́ | káàdìlíle
+	àmì àfikún	àfikún | àmi àfikún | àmì àfikún | ìfisi
,	kọmá	kọmá
-	háífìnì-ìyọkúrò	daaṣì | háífìnì | háífìnì-ìyọkúrò | ìyọkúrò
.	àmì ìparí	àmì ìparí | dọ́tì | ìdádúró
/	síláṣì	sílási | síláṣì | vaguri | wáàkì
:	kolọ́ọ̀nù	kolọ́ọ̀nù
;	sẹ̀míkolọ́ọ̀nù	kolọ́ọ̀nù | kolọ́ọ̀nù díe | sẹ̀míkolọ́ọ̀nù
<	kére sí	kére sí | kére-sí | táàgi sísilẹ̀
=	jẹ́	jẹ́ | wọn jẹ́
>	tóbi ju	táàgì | tóbi ju | tóbi-ju
?	ami ibeere	ami ibeere | ibeere
@	ní àmì	amúpẹ́sátì | àrobá | aróbasẹ̀ | ní àmì | ní ìsòwò | ní máàkì | ní-àmì | situdeli
[	búraketi onihamerin	búraketi | búraketi onihamerin | kurose | sikuwe buraketi
\	sílási eyin	sílási eyin | wáàkì
]	sikuwe buraketi inu	búraketi | kurose | sikuwe buraketi | sikuwe buraketi inu
^	àmì ohùn olójúpúpọ̀	agbára | àmi ohùn | àmì ohùn olójúpúpọ̀ | àmì sọ́ọ̀ | fìlà | ìfihàn | ìsàkóso | kárẹ̀tì | olọ́jupúpọ̀ | shẹ́fúrọ́nì | wejì
_	ìlà ìsàlẹ̀	abẹ́dáàṣì | dáàṣì | dàáṣì | ìlà | ìlà ìsàlẹ̀ | ila ìtọ́ka
`	àmì ohùn ńlá	àmì ohùn | àmì ohùn ńlá | ńlá
{	búrákẹ́tì ìta lílọ́	búraketi | búrákẹ́tì ìta lílọ́ | buraketi lilo | sikuwe buraketi ita
|	ìlà otún sí ósí	báà | igi | ila | ìlà otún sí ósí
}	búraketi inu	búraketi | búraketi inu | kurose | sikuwe buraketi
~	táìdì	táìdì
¡	ami isele inu	ami isele inu | gbankogbì | inu | isele
¢	sẹ́ntì	sẹ́ntì
£	pọ́ùn	aami owó | EGP | pọ́ùn
¤	owóníná àìmọ̀	
