# CLDR symbol names for yo_BJ: symbol, tts name, keywords
# cldr-version	48
# source	https://unicode.org/Public/cldr/48/cldr-common-48.zip
# sha256	06c7c698d6fd8d67cefac15a0206b0109b00e0ef1636f86f84449fa959561f74
# icu-version	78.3
# unicode-version	17.0
# Generated by tools/cldr_symbol_names.py; do not edit.
#	àmì háàsshì	àmì háàsì | àmì háàsshì | háàsì | háàstaàgì | lb | nɔ́nbà | pɔ́ùn
$	dɔ́là	dɔ́là | owó | pɛ́sò | USD
%	pàsɛ́ntì	pà sɛ́ntì | pà-sɛ́ntì | pàsɛ́ntì
*	asítɛ́ríìkì	asítɛ́ríìkì | ìràwɔ́ | káàdìlíle
,	kɔmá	kɔmá
-	háífìnì-ìyɔkúrò	daashì | háífìnì | háífìnì-ìyɔkúrò | ìyɔkúrò
.		àmì ìparí | dɔ́tì | ìdádúró
/	síláshì	síláshì | sílási | vaguri | wáàkì
:	kolɔ́ɔ̀nù	kolɔ́ɔ̀nù
;	sɛ̀míkolɔ́ɔ̀nù	kolɔ́ɔ̀nù | kolɔ́ɔ̀nù díe | sɛ̀míkolɔ́ɔ̀nù
<		kére sí | kére-sí | táàgi sísilɛ̀
=	jɛ́	jɛ́ | wɔn jɛ́
@		amúpɛ́sátì | àrobá | aróbasɛ̀ | ní àmì | ní ìsòwò | ní máàkì | ní-àmì | situdeli
^	àmì ohùn olójúpúpɔ̀	agbára | àmi ohùn | àmì ohùn olójúpúpɔ̀ | àmì sɔ́ɔ̀ | fìlà | ìfihàn | ìsàkóso | kárɛ̀tì | olɔ́jupúpɔ̀ | shɛ́fúrɔ́nì | wejì
_	ìlà ìsàlɛ̀	abɛ́dáàshì | dáàshì | dàáshì | ìlà | ìlà ìsàlɛ̀ | ila ìtɔ́ka
{	búrákɛ́tì ìta lílɔ́	búraketi | buraketi lilo | búrákɛ́tì ìta lílɔ́ | sikuwe buraketi ita
¢	sɛ́ntì	sɛ́ntì
£	pɔ́ùn	aami owó | EGP | pɔ́ùn
¤	owóníná àìmɔ̀	
¥	yɛ́nì	aami owó | CNY | JPY | yɛ́n | yɛ́nì | yúan
§		apa | ìpín | ìsòrì | pɛ̀lú
¨		dáresì | trɛ́mà | umlatì
©	òfin ìdábòbò ishɛ́	òfin ìdábòbò ishɛ́
®	ìforúkɔsílɛ	ìforúkɔsílɛ
±	àfikún-ìyɔkúrò	àfikún-ìyɔkúrò
³		ihamerin | iwe nla | mɛ́ta | síkuwe
·	dɔ́ɔ̀ti àárín	dɔ́ɔ̀ti | dɔ́ɔ̀ti àárín | láàrín | súnmɔ́
×		ami ilopo | àmì ilopo | ilopo | lɔ́nà
֏	Dírààmù Àmɛ́níà	
،	kɔmá arábíìkì	arábíìkì | kɔmá
؛	arabíìkì kolɔ́ɔ̀nù díɛ̀	arabíìkì | arabíìkì kolɔ́ɔ̀nù díɛ̀ | kolɔ́ɔ̀nù díɛ̀
৳	Tákà Báńgíládɛ̀ɛ̀shì	
៛	Ráyò Kàm̀bɔ́díà	
–	dáàshi ti	dáàshi | dáàshi ti | en
—		dáàshi | em | em dáàsì
―	àmì oke sí sàlɛ̀	àmi ìdínà | àmi oke sí sàlɛ́ | àmì oke sí sàlɛ̀ | ìlà
’	aposítofù ɔ̀tún	ami ìròyìn | àmi ìròyin kan | àmi ìroyìn tó | aposítofù | aposítofù ɔ́tun | aposítofù ɔ̀tún
‚	aposítofù ɔ̀tún kékeré	àmi ìròyìn | àmi ìròyin kérere | aposítofù | apositofú otùn kékeré | aposítofù ɔ̀tún kékeré
‡	àmi dágà mɛ́jì	àmi dágà mɛ́jì | dágà | mɛ́jì
•	ɔta	dɔ́ɔ̀tì | ɔta
…		alafo | àlàfo | allafo | dɔ́ɔ́tì
‴	púráìmù mɛ́ta	púráìmù | púráìmù mɛ́ta
‸	itɔju	itɔju
‾	apɔju	apɔju
⁄	síláàshì ìdá	ìlà òòró tó dɛ̀gbɛ́ | ìlà tó dɛ̀gbɛ́ | síláàshì ìdá
⁉		àmì | àmì ìyanu | àmì ìyanu oníbéèrè | ìfàmìsí | ìfɔ̀rɔ̀wánilé̩nuwò
₡	Kólɔ́ɔ̀nì Kosita Ríkà	
₢		BRB | kùrùséírò | oríshi owó
₣		fíráànkì | fíráànkì faransé | oríshi owó
₤		lírà | oríshi owó
₨		oríshi owó | rupee
₩	wɔn	KPW | KRW | wɔn
₪	Shékélì Tuntun Ísírɛ̀ɛ̀lì	
₰		éépìnì jámánì | oríshi owó | pfennig
₱	pɛ́sò	pɛ́sò
₳		ARA | australi | oríshi owó
₴	Ɔrifiníyà Yukiréníà	
₶		livre tournois | oríshi owó
₷		oríshi owó | spesmilo
₸	Tɛngé Kasakísítàànì	
₺	Lírà Tɔ́kì	
₾	Lárì Jɔ́jíà	
₿	bítikɔ́inì	Bítikoin | bítikɔ́inì | BTC
℗	igbohunsílɛ̀ ashɛ	igbohunsílɛ̀ ashɛ
™	àmì ìdánimɔ̀ iléeshɛ́	àmì | àmì ìdámɔ̀ fún iléeshɛ́ | àmì ìdánimɔ̀ iléeshɛ́ | tm
←	ɔ̀fà didojuko òsì	òsì | ɔ̀fà | ɔ̀fà didojuko òsì
↑	ɔ̀fà didojuko oke	ɔ̀fà | ɔ̀fà didojuko oke | ɔ̀tún
→	ɔ̀fà didojuko otun	ɔ̀fà | ɔ̀fà didojuko otun | ɔ̀tún
↓	ɔ̀fà didojuko isàlɛ̀	ɔ̀fà | ɔ̀fà didojuko isàlɛ̀ | ɔ̀fà didojuko ìsàlɛ̀ | ɔ̀tún
↔	àmì ìtó̩sɔ́nà o̩lɔ́fà tɔ̀tún-tòsì	àmì ìtó̩sɔ́nà o̩lɔ́fà tɔ̀tún-tòsì | ɔfà
↕	ɔfà tòkètilɛ̀	ɔfà | ɔfà tòkètilɛ̀
↖	àmì òkè ìtó̩sɔ́nà o̩lɔ́fà apá òsì	àmì ìtó̩sɔ́nà o̩lɔ́fà | àmì òkè ìtó̩sɔ́nà o̩lɔ́fà apá òsì | ìlɔ́pɔ̀ kádínàlì | ìtɔ́sɔ́nà | iwɔ̀ oòrùn àríwá
↗	àmì òkè ìtó̩sɔ́nà o̩lɔ́fà apá ɔ̀tún	àmì ìtó̩sɔ́nà o̩lɔ́fà | àmì òkè ìtó̩sɔ́nà o̩lɔ́fà apá ɔ̀tún | ilà oòrùn àríwá | ìlɔ́pɔ̀ kádínàlì | ìtɔ́sɔ́nà
↘	àmì ilɛ̀ ìtó̩sɔ́nà o̩lɔ́fà apá ɔ̀tún	àmì ilɛ̀ ìtó̩sɔ́nà o̩lɔ́fà apá ɔ̀tún | àmì ìtó̩sɔ́nà o̩lɔ́fà | gúúsù ilà oòrùn | ìlɔ́pɔ̀ kádínàlì | ìtɔ́sɔ́nà
↙	àmì ilɛ̀ ìtó̩sɔ́nà o̩lɔ́fà apá òsì	àmì ilɛ̀ ìtó̩sɔ́nà o̩lɔ́fà apá òsì | àmì ìtó̩sɔ́nà o̩lɔ́fà | ìlɔ́pɔ̀ kádínàlì | ìtɔ́sɔ́nà | iwɔ̀ oòrùn gúúsù
↚	atɔ́ka tó kɔjú sí òsì pɛ̀lú ìlà	atɔ́ka tó kɔjú sí òsì pɛ̀lú ìlà
↛	atɔ́ka tó kɔjú sí ɔ̀tún pɛ̀lú ìlà	atɔ́ka tó kɔjú sí ɔ̀tún pɛ̀lú ìlà
↜	atɔ́ka shíshɛ́wɛ́lɛ́ tó kɔjú sí òsì	atɔ́ka shíshɛ́wɛ́lɛ́ tó kɔjú sí òsì
↝	atɔ́ka shíshɛ́wɛ́lɛ́ tó kɔjú sí ɔ̀tún	atɔ́ka shíshɛ́wɛ́lɛ́ tó kɔjú sí ɔ̀tún
↞	atɔ́ka olórí-méjì tó kɔjú sí òsì	atɔ́ka olórí-méjì tó kɔjú sí òsì
↟	atɔ́ka olórí-méjì tó kɔjú sí òkè	atɔ́ka olórí-méjì tó kɔjú sí òkè
↠	atɔ́ka olórí-méjì tó kɔjú sí ɔ̀tún	atɔ́ka olórí-méjì tó kɔjú sí ɔ̀tún
↡	atɔ́ka olórí-méjì tó kɔjú sí ìsàlɛ̀	atɔ́ka olórí-méjì tó kɔjú sí ìsàlɛ̀
↢	atɔ́ka onírù tó kɔjú sí òsì	atɔ́ka onírù tó kɔjú sí òsì
↣	atɔ́ka onírù tó kɔjú sí ɔ̀tún	atɔ́ka onírù tó kɔjú sí ɔ̀tún
↤	atɔ́ka tó kɔjú sí òsì látorí ɔ̀pá	atɔ́ka tó kɔjú sí òsì látorí ɔ̀pá
↥	atɔ́ka tó kɔjú sí òkè látorí ɔ̀pá	atɔ́ka tó kɔjú sí òkè látorí ɔ̀pá
↦	atɔ́ka tó kɔjú sí ɔ̀tún látorí ɔ̀pá	atɔ́ka tó kɔjú sí ɔ̀tún látorí ɔ̀pá
↧	atɔ́ka tó kɔjú sí ìsàlɛ̀ látorí ɔ̀pá	atɔ́ka tó kɔjú sí ìsàlɛ̀ látorí ɔ̀pá
↨	atɔ́ka tó lɔ sókè àti ìsàlɛ̀ pɛ̀lú ìdí	atɔ́ka tó lɔ sókè àti ìsàlɛ̀ pɛ̀lú ìdí
↩	àmì ìtó̩sɔ́nà o̩lɔ́fà apá ɔ̀tún onígun	àmì ìtó̩sɔ́nà o̩lɔ́fà apá ɔ̀tún onígun | ɔfà
↪	àmì ìtó̩sɔ́nà o̩lɔ́fà apá òsì onígun	àmì ìtó̩sɔ́nà o̩lɔ́fà apá òsì onígun | ɔfà
↫	atɔ́ka tó kɔjú sí òsì tó ni kókó ní ìdí	atɔ́ka tó kɔjú sí òsì tó ni kókó ní ìdí
↬	atɔ́ka tó kɔjú sí ɔ̀tún pɛ̀lú kókó ní ìdí	atɔ́ka tó kɔjú sí ɔ̀tún pɛ̀lú kókó ní ìdí
↭	atɔ́ka shíshɛ́wɛ́lɛ́ tó kɔjú sí òsì àti ɔ̀tún	atɔ́ka shíshɛ́wɛ́lɛ́ tó kɔjú sí òsì àti ɔ̀tún
↮	atɔ́ka tó kɔjú sí òsì àti ɔ̀tún pɛ̀lú ìlà	atɔ́ka tó kɔjú sí òsì àti ɔ̀tún pɛ̀lú ìlà
↯	atɔ́ka wíwɔ́ tó doríkodò	atɔ́ka wíwɔ́ tó doríkodò | wíwɔ́
↰	atɔ́ka nínàró tó shɛ́po korí sí òsì	atɔ́ka nínàró tó shɛ́po korí sí òsì
↱	atɔ́ka nínàró tó shɛ́po korí sí ɔ̀tún	atɔ́ka nínàró tó shɛ́po korí sí ɔ̀tún
↲	atɔ́ka dídoríkodò tó shɛ́po korí sí òsì	atɔ́ka dídoríkodò tó shɛ́po korí sí òsì
↳	atɔ́ka dídoríkodò tó shɛ́po korí sí ɔ̀tún	atɔ́ka dídoríkodò tó shɛ́po korí sí ɔ̀tún
↴	atɔ́ka tó dojúkɔ ɔ̀tún tó shɛ́po doríkodò	atɔ́ka tó dojúkɔ ɔ̀tún tó shɛ́po doríkodò
↵	atɔ́ka tó doríkodò tó shɛ́po dojúkɔ òsì	atɔ́ka tó doríkodò tó shɛ́po dojúkɔ òsì
↶	atɔ́ka tó yípo lókè lòdì sí ɔwɔ́ aago dé àárín-méjì	atɔ́ka tó yípo lókè lòdì sí ɔwɔ́ aago dé àárín-méjì
↷	atɔ́ka tó yípo lókè bí ɔwɔ́ aago dé àárín-méjì	atɔ́ka tó yípo lókè bí ɔwɔ́ aago dé àárín-méjì
↸	atɔ́ka ɔlɔ́pàá gígùn lórí tó kɔjú sí ìwɔ̀ oòrùn àríwá	atɔ́ka ɔlɔ́pàá gígùn lórí tó kɔjú sí ìwɔ̀ oòrùn àríwá
↹	ɔ̀pá oní ìkɔ́ apá-òsì lórí apá-ɔ̀tún	apá-òsì | ìkɔ́ | ɔ̀pá | ɔ̀pá oní ìkɔ́ apá-òsì lórí apá-ɔ̀tún
↺	atɔ́ka yíyípo lòdì sí ɔwɔ́ aago tó shísílɛ̀ lókè	atɔ́ka yíyípo lòdì sí ɔwɔ́ aago tó shísílɛ̀ lókè
↻	atɔ́ka yíyípo bí ɔwɔ́ aago tó shísílɛ̀ lókè	atɔ́ka yíyípo bí ɔwɔ́ aago tó shísílɛ̀ lókè
↼	ɔ̀kɔ̀ ɛlɛ́gùn-ún òsì tó kɔjú sókè	ɛ̀gún | ɔ̀kɔ̀ ɛlɛ́gùn-ún òsì tó kɔjú sókè
↽	ɔ̀kɔ̀ ɛlɛ́gùn-ún ní òsì tó kɔjú sísàlɛ̀	ɔ̀kɔ̀ ɛlɛ́gùn-ún ní òsì tó kɔjú sísàlɛ̀ | ɔ̀kɔ̀ ɛlɛ́gùn-ún òsì tó kɔjú sísàlɛ̀
↾	ɔ̀kɔ̀ ɛlɛ́gùn-ún òkè tó kɔjú sí ɔ̀tún	ɛ̀gún | ɔ̀kɔ̀ ɛlɛ́gùn-ún òkè tó kɔjú sí ɔ̀tún
↿	ɔ̀kɔ̀ ɛlɛ́gùn-ún òkè tó kɔjú sí òsì	ɛ̀gún | ɔ̀kɔ̀ ɛlɛ́gùn-ún òkè tó kɔjú sí òsì
⇀	ìkɔ́ apá-ɔ̀tún tó kɔrí sókè	ìkɔ́ | ìkɔ́ apá-ɔ̀tún tó kɔrí sókè
⇁	ìkɔ́ apá-ɔ̀tún tó darí wà lɛ̀	ìkɔ́ | ìkɔ́ apá-ɔ̀tún tó darí wà lɛ̀
⇂	ɔ̀kɔ̀ ɛlɛ́gùn-ún ìsàlɛ̀ tó kɔjú sí ɔ̀tún	ɛ̀gún | ɔ̀kɔ̀ ɛlɛ́gùn-ún ìsàlɛ̀ tó kɔjú sí ɔ̀tún
⇃	ɔ̀kɔ̀ ɛlɛ́gùn-ún ìsàlɛ̀ tó kɔjú sí òsì	ɛ̀gún | ɔ̀kɔ̀ ɛlɛ́gùn-ún ìsàlɛ̀ tó kɔjú sí òsì
⇄	atɔ́ka tó kɔjú sí ɔ̀tún lórí atɔ́ka tó kɔjú sí òsì	atɔ́ka tó kɔjú sí ɔ̀tún lórí atɔ́ka tó kɔjú sí òsì
⇅	ɔ̀fà didojuko òkè àti ɔ̀fà didojuko ìsàlɛ̀	ìsàlɛ̀ | òkè | ɔ̀fà | ɔ̀fà didojuko òkè àti ɔ̀fà didojuko ìsàlɛ̀
⇆	ɔ̀fà didojuko òsì lórí ɔ̀fà didojuko ɔ̀tún	òsì | ɔ̀fà | ɔ̀fà didojuko òsì lórí ɔ̀fà didojuko ɔ̀tún | ɔ̀tún
⇇	atɔ́ka méjì tó kɔjú sí òsì	atɔ́ka méjì tó kɔjú sí òsì
⇈	atɔ́ka méjì tó kɔjú sí òkè	atɔ́ka méjì tó kɔjú sí òkè
⇉	atɔ́ka méjì tó kɔjú sí ɔ̀tún	atɔ́ka méjì tó kɔjú sí ɔ̀ɔ̀tún | atɔ́ka méjì tó kɔjú sí ɔ̀tún
⇊	atɔ́ka méjì tó kɔjú sí ìsàlɛ̀	atɔ́ka méjì tó kɔjú sí ìsàlɛ̀
⇋	ɔ̀kɔ̀ tó kɔjú sí òsì lórí ɔ̀kɔ̀ tó kɔjú sí ɔ̀tún	ɔ̀kɔ̀ tó kɔjú sí òsì lórí ɔ̀kɔ̀ tó kɔjú sí ɔ̀tún
⇌	ɔ̀kɔ̀ tó kɔjú sí ɔ̀tún lórí ɔ̀kɔ̀ tó kɔjú sí òsì	ɔ̀kɔ̀ tó kɔjú sí ɔ̀tún lórí ɔ̀kɔ̀ tó kɔjú sí òsì
⇍	atɔ́ka onílà méjì tó kɔjú sí òsì pɛ̀lú ìlà laarin	atɔ́ka onílà méjì tó kɔjú sí òsì pɛ̀lú ìlà laarin
⇎	atɔ́ka onílà méjì tó kɔjú sí òsì àti ɔ̀tún pɛ̀lú ìlà laarin	atɔ́ka onílà méjì tó kɔjú sí òsì àti ɔ̀tún pɛ̀lú ìlà laarin
⇏	atɔ́ka onílà méjì tó kɔjú sí ɔ̀tún pɛ̀lú ìlà laarin	atɔ́ka onílà méjì tó kɔjú sí ɔ̀tún pɛ̀lú ìlà laarin
⇐	atɔ́ka onílà méjì tó kɔjú sí òsì	atɔ́ka onílà méjì tó kɔjú sí òsì
⇑	atɔ́ka onílà méjì tó kɔjú sí òkè	atɔ́ka onílà méjì tó kɔjú sí òkè
⇒	atɔ́ka onílà méjì tó kɔjú sí ɔ̀tún	atɔ́ka onílà méjì tó kɔjú sí ɔ̀tún
⇓	atɔ́ka onílà méjì tó kɔjú sí ìsàlɛ̀	atɔ́ka onílà méjì tó kɔjú sí ìsàlɛ̀
⇔	atɔ́ka onílà méjì tó kɔjú sí òsì àti ɔ̀tún	atɔ́ka onílà méjì tó kɔjú sí òsì àti ɔ̀tún
⇖	atɔ́ka onílà méjì tó kɔjú sí ìwɔ̀ oòrùn àríwá	atɔ́ka onílà méjì tó kɔjú sí ìwɔ̀ oòrùn àríwá
⇗	atɔ́ka onílà méjì tó kɔjú sí ìlà oòrùn àríwá	atɔ́ka onílà méjì tó kɔjú sí ìlà oòrùn àríwá
⇘	atɔ́ka onílà méjì tó kɔjú sí ìlà oòrùn gúsù	atɔ́ka onílà méjì tó kɔjú sí ìlà oòrùn gúsù
⇙	atɔ́ka onílà méjì tó kɔjú sí ìwɔ̀ oòrùn gúsù	atɔ́ka onílà méjì tó kɔjú sí ìwɔ̀ oòrùn gúsù
⇚	atɔ́ka onílà mɛ́ta tó kɔjú sí òsì	atɔ́ka onílà mɛ́ta tó kɔjú sí òsì
⇛	atɔ́ka onílà mɛ́ta tó kɔjú sí ɔ̀tún	atɔ́ka onílà mɛ́ta tó kɔjú sí ɔ̀tún
⇜	atɔ́ka sísúnpɔ̀ tó kɔjú sí òsì	atɔ́ka sísúnpɔ̀ tó kɔjú sí òsì
⇝	atɔ́ka sísúnpɔ̀ tó kɔjú sí ɔ̀tún	atɔ́ka sísúnpɔ̀ tó kɔjú sí ɔ̀tún
⇞	atɔ́ka tó kɔjú sí òkè pɛ̀lú ìlà méjì laarin	atɔ́ka tó kɔjú sí òkè pɛ̀lú ìlà méjì laarin
⇟	atɔ́ka tó kɔjú sí ìsàlɛ̀ pɛ̀lú ìlà méjì laarin	atɔ́ka tó kɔjú sí ìsàlɛ̀ pɛ̀lú ìlà méjì laarin
⇠	atɔ́ka onílà dídùbú alálàfo tó kɔjú si òsì	atɔ́ka onílà dídùbú alálàfo tó kɔjú si òsì
⇡	atɔ́ka onílà dídùbú alálàfo tó kɔjú si òkè	atɔ́ka onílà dídùbú alálàfo tó kɔjú si òkè
⇢	atɔ́ka onílà dídùbú alálàfo tó kɔjú si ɔ̀tún	atɔ́ka onílà dídùbú alálàfo tó kɔjú si ɔ̀tún
⇣	atɔ́ka onílà dídùbú alálàfo tó kɔjú si ìsàlɛ̀	atɔ́ka onílà dídùbú alálàfo tó kɔjú si ìsàlɛ̀
⇤	atɔ́ka ɔlɔ́pàá lórí tó kɔjú sí òsì	atɔ́ka ɔlɔ́pàá lórí tó kɔjú sí òsì
⇥	atɔ́ka ɔlɔ́pàá lórí tó kɔjú sí ɔ̀tún	atɔ́ka ɔlɔ́pàá lórí tó kɔjú sí ɔ̀tún
⇦	atɔ́ka onílà méjì àsopɔ̀ tó kɔjú sí òsì	atɔ́ka onílà méjì àsopɔ̀ tó kɔjú sí òsì
