# CLDR symbol names for yue: symbol, tts name, keywords
# cldr-version	48
# source	https://unicode.org/Public/cldr/48/cldr-common-48.zip
# sha256	06c7c698d6fd8d67cefac15a0206b0109b00e0ef1636f86f84449fa959561f74
# icu-version	78.3
# unicode-version	17.0
# Generated by tools/cldr_symbol_names.py; do not edit.
!	感嘆號	感嘆 | 感嘆號 | 爆炸
#	井號	井號 | 井號標記 | 數字 | 磅 | 鎊
$	貨幣符號	披索 | 美元 | 美金 | 貨幣符號 | 錢
%	百分比	百分比
&	同埋	同 | 同埋 | 和 | 連字號
'	打字機撇號	單引號 | 引述 | 打字機撇號 | 撇
)	閂括弧	圓括弧 | 括弧 | 括號 | 閂括弧
*	星號	星形 | 星號 | 萬用字元
+	加號	加 | 加號
,	逗號	逗號
-	破折號-減號	橫線 | 減號 | 破折號 | 破折號-減號
.	句號	句號 | 點
/	斜線	傾斜 | 實線 | 斜線
:	冒號	冒號
;	分號	分號
<	小過	小過 | 標籤 | 開標籤
=	等號	相等 | 等於 | 等號
>	大過	大過 | 標籤 | 閂標籤
?	問號	問號 | 問題
@	at 符號	@ | at 符號 | 商業 at | 安培
[	開方括號	括號 | 方括號 | 開方括號
\	反斜線	反斜實線 | 反斜線
]	閂方括號	括號 | 方括號 | 閂方括號
^	抑揚音符號	帽 | 抑揚 | 抑揚音符號 | 指針 | 控制 | 插入符 | 次方 | 音
_	底線	底線 | 橫線 | 線
`	重音符	調子 | 重音 | 重音符
{	開波形括號	大括號 | 括號 | 波形括號 | 開波形括號
|	垂直線	垂直線 | 棒 | 管 | 線
}	閂波形括號	大括號 | 括號 | 波形括號 | 閂波形括號
~	波浪符號	波浪符號
¡	倒轉嘅感嘆號	倒轉 | 倒轉嘅感嘆號 | 感嘆 | 感嘆號 | 爆炸
¢	分錢	分錢
£	英鎊	埃及鎊 | 英鎊 | 貨幣 | 鎊
¤	未知貨幣	
¥	日圓	人民幣 | 日圓 | 貨幣
§	部分	分節 | 分節符號 | 段落 | 部分
¨	分音符號	分音 | 分音符號 | 變音
©	版權	版權
«	左雙書名號	人字形 | 向左 | 左雙書名號 | 引用 | 括號 | 脫字符 | 角
¬	否定符號	不 | 否定符號
®	註冊	註冊
°	度	小時 | 度 | 證明
