# CLDR symbol names for yue_Hans: symbol, tts name, keywords
# cldr-version	48
# source	https://unicode.org/Public/cldr/48/cldr-common-48.zip
# sha256	06c7c698d6fd8d67cefac15a0206b0109b00e0ef1636f86f84449fa959561f74
# Generated by tools/cldr_symbol_names.py; do not edit.
!	感叹号	感叹 | 感叹号 | 爆炸
#	井号	井号 | 井号标记 | 数字 | 磅 | 镑
$	货币符号	披索 | 美元 | 美金 | 货币符号 | 钱
%	百分比	百分比
&	同埋	同 | 同埋 | 和 | 连字号
'	打字机撇号	单引号 | 引述 | 打字机撇号 | 撇
)	闩括弧	圆括弧 | 括号 | 括弧 | 闩括弧
*	星号	万用字元 | 星号 | 星形
+	加号	加 | 加号
,	逗号	逗号
-	破折号-减号	减号 | 横线 | 破折号 | 破折号-减号
.	句号	句号 | 点
/	斜线	倾斜 | 实线 | 斜线
:	冒号	冒号
;	分号	分号
<	小过	小过 | 开标签 | 标签
=	等号	相等 | 等于 | 等号
>	大过	大过 | 标签 | 闩标签
?	问号	问号 | 问题
@	at 符号	@ | at 符号 | 商业 at | 安培
[	开方括号	开方括号 | 括号 | 方括号
\	反斜线	反斜实线 | 反斜线
]	闩方括号	括号 | 方括号 | 闩方括号
^	抑扬音符号	帽 | 抑扬 | 抑扬音符号 | 指针 | 控制 | 插入符 | 次方 | 音
_	底线	底线 | 横线 | 线
`	重音符	调子 | 重音 | 重音符
{	开波形括号	大括号 | 开波形括号 | 括号 | 波形括号
|	垂直线	垂直线 | 棒 | 管 | 线
}	闩波形括号	大括号 | 括号 | 波形括号 | 闩波形括号
~	波浪符号	波浪符号
¡	倒转嘅感叹号	倒转 | 倒转嘅感叹号 | 感叹 | 感叹号 | 爆炸
¢	分钱	分钱
£	英镑	埃及镑 | 英镑 | 货币 | 镑
¤	未知货币	
¥	日圆	人民币 | 日圆 | 货币
§	部分	分节 | 分节符号 | 段落 | 部分
¨	分音符号	分音 | 分音符号 | 变音
©	版权	版权
«	左双书名号	人字形 | 向左 | 左双书名号 | 引用 | 括号 | 脱字符 | 角
¬	否定符号	不 | 否定符号
®	注册	注册
°	度	小时 | 度 | 证明
±	加减号	加减号
²	上标二	上标 | 上标二 | 二 | 二次方
³	上标三	三 | 三次方 | 上标 | 上标三
´	尖音符	尖音 | 尖音符 | 音符
µ	微单位标志	微单位标志 | 量度
¶	段落标记	副词 | 段落 | 段落标记 | 稻草人
·	中点	中点 | 中间 | 点 | 间隔号
¹	上标一	一 | 上标 | 上标一
»	右双书名号	人字形 | 右双书名号 | 向右 | 引用 | 括号 | 脱字符 | 角
¿	倒转嘅问号	倒转 | 倒转嘅问号 | 问号 | 问题
×	乘号	乘 | 乘号 | 乘数 | 乘法
÷	除号	除 | 除号 | 除法
֏	亚美尼亚德拉姆	
؋	阿富汗尼	
