# CLDR symbol names for zh: symbol, tts name, keywords
# cldr-version	48
# source	https://unicode.org/Public/cldr/48/cldr-common-48.zip
# sha256	06c7c698d6fd8d67cefac15a0206b0109b00e0ef1636f86f84449fa959561f74
# icu-version	78.3
# unicode-version	17.0
# Generated by tools/cldr_symbol_names.py; do not edit.
!	感叹号	惊叹号 | 惊心动魄 | 感叹 | 感叹号
#	井号	主题符号 | 井号 | 编号
$	美元符号	比索 | 美元 | 美元符号 | 金钱
%	百分号	百分号 | 百分比
&	与号	与号 | 和 | 等
'	打字机撇号	单引号 | 引号 | 打字机撇号 | 撇号
)	右括号	右括号 | 圆括号 | 括号 | 括弧
*	星号	星号 | 星形 | 通配符
+	加号	加 | 加号 | 相加
,	逗号	逗号
-	连字符-负号	横线 | 负号 | 连字符 | 连字符-负号
.	句点	句点 | 圆点
/	斜杠	倾斜 | 划掉 | 斜杠 | 斜线符号 | 短斜线
:	冒号	冒号
;	分号	分号
<	小于	小于 | 标记 | 起始标记
=	等号	相等 | 等于 | 等号
>	大于	大于 | 标记 | 结束标记
?	问号	问号
@	@ 符号	@ 符号 | 单价记号
[	左方括号	四分音符 | 左方括号 | 括号 | 方括号
\	反斜杠	反向斜线 | 反斜杠
]	右方括号	右方括号 | 四分音符 | 括号 | 方括号
^	抑扬音符号	人字形标记 | 帽子 | 幂 | 抑扬音 | 抑扬音符号 | 指针 | 按位异或符号 | 控制 | 楔子 | 补字符 | 重音
_	低线	下划线 | 下横线 | 低线 | 横线 | 线条
`	抑音符	抑音符 | 沉重 | 语调 | 重音符号
{	左花括号	大括号 | 左花括号 | 括号 | 花括号 | 鸥翼
|	竖线	杆 | 竖条 | 竖线 | 管线 | 线 | 线条 | 谢费尔竖线
}	右花括号	右花括号 | 大括号 | 括号 | 花括号 | 鸥翼
~	波浪号	波浪号
¡	倒置的感叹号	倒置 | 倒置的感叹号 | 惊叹号 | 感叹 | 感叹号 | 猛撞
¢	美分	美分
£	英镑符号	英镑 | 英镑符号 | 货币 | 镑
¤	未知货币	
¥	元符号	中国 | 人民币 | 元 | 元符号 | 日元 | 日本 | 货币
§	章节符号	双S | 段落 | 部分 | 章节 | 章节符号
¨	分音符号	元音变音 | 分音符 | 分音符号
©	版权	版权
«	左燕尾号	尾巴 | 左 | 左燕尾号 | 引用 | 方框 | 燕子 | 角
¬	非	否 | 非
®	注册	注册 | 注册标记
°	度	度 | 度数 | 时角 | 标准酒精度
±	正负	正负
²	上标2	2 | 上标 | 上标2 | 平方
³	上标3	3 | 上标 | 上标3 | 立方
´	重音符号	尖锐 | 语调 | 重音符号
µ	微符号	度量 | 微符号
¶	段落标记	段落 | 段落标记 | 段落符号
·	间隔号	中点 | 中间 | 点 | 间隔号
¹	上标1	1 | 上标 | 上标1
»	右燕尾号	右 | 右燕尾号 | 尾巴 | 引用 | 方框 | 燕子 | 角
¿	倒置的问号	倒置 | 倒置的问号 | 疑问 | 问号
×	乘号	乘以 | 乘号 | 乘法 | 乘积 | 倍数
÷	除号	商数 | 除以 | 除号 | 除商 | 除法
֏	亚美尼亚德拉姆	
؋	阿富汗尼	
،	阿拉伯文逗号	逗号 | 阿拉伯 | 阿拉伯文逗号
؛	阿拉伯文分号	分号 | 阿拉伯 | 阿拉伯文分号
؟	阿拉伯文问号	疑问 | 问号 | 阿拉伯 | 阿拉伯文问号
৳	孟加拉塔卡	
฿	泰铢	
៛	柬埔寨瑞尔	
‐	连字符	横线 | 连字符
–	连接号	横线 | 短划线 | 连接号
—	破折号	横线 | 破折号 | 长划线
―	横条	条形 | 横条 | 横线 | 线条
‘	左撇号	单引号 | 左撇号 | 引号 | 撇号 | 花引号
’	右撇号	单引号 | 右撇号 | 引号 | 撇号 | 花引号
‚	低右撇号	低右撇号 | 低引号 | 引号 | 撇号
“	左双引号	双引号 | 左双引号 | 引号 | 引用 | 花引用
”	右双引号	双引号 | 右双引号 | 引号 | 引用 | 花引号
„	低右双引号	低右双引号 | 低引号 | 双引号 | 引号 | 引用 | 花引号
†	剑号	剑 | 剑号 | 十字架
‡	双剑号	剑 | 剑号 | 双 | 双剑号
•	项目符号	圆点 | 项目符号
…	省略号	多个圆点 | 省略 | 省略号
‧	连字符点	点 | 破折号 | 连字符 | 连字符点
‰	千分号	千分号 | 千分比
′	角分符号	角分符号
″	角秒符号	角秒符号
‴	三撇	三撇
‸	脱字符	脱字符
※	参考标记	参考标记
‼	双感叹号	！ | ！！ | 两个 | 双叹号 | 双感叹号 | 叹号 | 吃惊 | 标点符号
‽	疑问惊叹号	疑问惊叹号
‾	上划线	上划线
⁂	星群	星群
⁄	分数斜线	分数斜线
⁉	感叹疑问号	！ | ！？ | ？ | 叹号 | 叹号加问号 | 吃惊 | 感叹疑问号 | 标点符号 | 疑问惊叹号 | 问号
⁻	上标减号	上标 | 减号
₡	哥斯达黎加科朗	
₢	克鲁赛罗	克鲁赛罗
