# CLDR symbol names for zh_Hant: symbol, tts name, keywords
# cldr-version	48
# source	https://unicode.org/Public/cldr/48/cldr-common-48.zip
# sha256	06c7c698d6fd8d67cefac15a0206b0109b00e0ef1636f86f84449fa959561f74
# icu-version	78.3
# unicode-version	17.0
# Generated by tools/cldr_symbol_names.py; do not edit.
!	驚嘆符號	驚嘆 | 驚嘆符號 | 驚訝
#	井字號	# | # 標籤 | 井字號 | 井號 | 雜湊 | 雜湊標記
$	美元	元 | 比索 | 美元 | 錢
%	百分率	百分 | 百分比 | 百分率
&	& 符號	& | & 符號 | 且 | 及 | 和
'	撇號	單引號 | 引號 | 撇號
)	右括號	右括號 | 圓括弧 | 圓括號 | 括弧 | 括號
*	星號	星星 | 星號 | 萬用字元
+	加號	加 | 加法 | 加號
,	逗點	逗號 | 逗點
-	連字暨減號	一槓 | 一橫 | 減號 | 連字暨減號 | 連字號
.	句點	句點 | 點
/	正斜線	斜線 | 正斜線
:	冒號	冒號
;	分號	分號
<	小於	小於 | 標籤 | 開始標籤
=	等號	相等 | 等於 | 等號
>	大於	大於 | 標籤 | 結束標籤
?	問號	問號 | 疑問
@	小老鼠符號	小老鼠 | 小老鼠符號
[	左方括號	左方括號 | 括弧 | 括號 | 方型括弧
\	反斜線	反 | 反斜線 | 斜線
]	右方括號	右方括號 | 括弧 | 括號 | 方型括弧
^	脫字號	插入符 | 插入號 | 脫字元 | 脫字符 | 脫字符號 | 脫字號
_	底線	底橫線 | 底線 | 橫線 | 線
`	重音符	抑音符 | 重音符 | 音符
{	左大括號	大括孤 | 大括號 | 左大括號 | 花括弧 | 花括號
|	豎線	分隔號 | 垂直 | 謝費爾 | 豎 | 豎線
}	右大括號	右大括號 | 大括孤 | 大括號 | 花括弧 | 花括號
~	波狀符號	波浪號 | 波狀 | 波狀符號
¡	倒驚嘆號	倒置 | 倒驚嘆號 | 驚嘆號 | 驚訝
¢	分	分
£	英鎊符號	英國 | 英鎊 | 英鎊符號 | 貨幣
¤	未知貨幣	
¥	日幣符號	日圓 | 日幣 | 日幣符號 | 日本 | 貨幣
§	分節符號	分節符號 | 段落 | 部分 | 章節
¨	分音符	元音變化符 | 分音符
©	版權	版權
«	左書名號	左 | 左書名號 | 括號 | 角形
¬	非	否定 | 非
®	註冊	註冊
°	度	度 | 度數 | 度時 | 酒精度
±	正負號	加減 | 正負號
²	上標數字 2	2 | 上標 | 上標數字 2 | 平方
³	上標數字 3	3 | 上標 | 上標數字 3 | 立方
´	尖音符	尖音符 | 銳音符 | 音符
µ	微米符號	微米符號 | 測量
¶	段落標記	標記 | 段落 | 段落標記 | 段落符號
·	間隔號	中點 | 間隔號 | 點
¹	上標數字 1	1 | 上標 | 上標數字 1
»	右書名號	右 | 右書名號 | 括號 | 角形
¿	倒問號	倒問號 | 倒置 | 問號 | 疑問
×	乘號	乘 | 乘法 | 乘號
÷	除法符號	除 | 除法 | 除法符號 | 除號
֏	亞美尼亞德拉姆	
؋	阿富汗尼	
،	阿拉伯逗號	逗號 | 阿拉伯 | 阿拉伯逗號
؛	阿拉伯冒號	冒號 | 阿拉伯 | 阿拉伯冒號
؟	阿拉伯問號	問號 | 疑問 | 阿拉伯 | 阿拉伯問號
৳	孟加拉塔卡	
฿	泰銖	
៛	柬埔寨瑞爾	
‐	連字符	破折號 | 連字符 | 連字號
–	連接號	標點 | 連接號
—	破折號	標點 | 破折號
―	橫線	橫槓 | 橫線 | 破折號
‘	左單引號	單引號 | 左單引號 | 引號 | 撇號 | 智慧引號
’	右單引號	右單引號 | 單引號 | 引號 | 撇號 | 智慧引號
‚	半形逗號	半形逗號 | 撇號 | 逗號
“	左雙引號	左雙引號 | 引號 | 智慧引號 | 雙引號
”	右雙引號	右雙引號 | 引號 | 智慧引號 | 雙引號
„	右低雙引號	低雙引號 | 右低雙引號 | 引號 | 智慧引號 | 雙引號
†	劍標	劍標 | 短劍號
‡	雙劍標	劍標 | 短劍號 | 雙 | 雙劍標
•	項目號	項目號 | 點
…	省略號	省略號 | 點點點
‧	連字點	連字號 | 連字點 | 間隔號
‰	千分率	千分比 | 千分率
′	角分符號	角分符號
″	角秒符號	角分符號 | 角秒符號
‴	三上標	三上標 | 角分符號
‸	脱字符	脱字符
※	參照標記	參照 | 參照標記 | 參照符號
‼	雙驚嘆號	標點 | 雙驚嘆號
‽	疑問驚歎號	疑問驚歎號
‾	頂線	頂線
⁂	星群符號	星群符號
⁄	分數斜線	分數斜線
⁉	驚嘆號加問號	標點 | 驚嘆號加問號
⁻	上標負數	上標 | 上標負數 | 負數
₡	哥斯大黎加科朗	
₢	克魯塞羅	克魯塞羅
₣	法國法郎	法國法郎
₤	里拉	里拉
₥	密爾	密爾
₦	奈及利亞奈拉	
₧	西班牙陪士特	
₨	盧比	盧比
₩	韓元	韓元 | 韓圓
₪	以色列新謝克爾	
₫	越南盾	
€	歐元符號	歐元 | 歐元符號 | 歐洲 | 貨幣
₭	寮國基普	
₮	蒙古圖格里克	
₰	德國便士	德國便士
₱	比索	披索 | 比索
₲	巴拉圭瓜拉尼	
₳	奧斯特拉爾	奧斯特拉爾
₴	烏克蘭格里夫納	
₵	迦納塞地	
₶	圖爾里弗爾	圖爾里弗爾
₷	斯貝斯米羅	斯貝斯米羅
₸	哈薩克堅戈	
₹	印度盧比	印度盧比 | 盧比 | 貨幣
₺	土耳其里拉	
₼	亞塞拜然馬納特	
₽	盧布	盧布 | 貨幣
₾	喬治亞拉里	
₿	比特幣	比特幣
℗	錄音著作權	著作權 | 錄音 | 錄音著作權
™	商標	商標
ℹ	資訊	詢問處 | 資訊
←	朝左箭頭	朝左 | 朝左箭頭 | 箭頭
↑	朝上箭頭	朝上 | 朝上箭頭 | 箭頭
→	朝右箭頭	朝右 | 朝右箭頭 | 箭頭
↓	朝下箭頭	朝下 | 朝下箭頭 | 箭頭
↔	左右箭頭	左右箭頭
↕	上下箭頭	上下箭頭
↖	左上箭頭	左上箭頭 | 方向 | 西北
↗	右上箭頭	右上箭頭 | 方向 | 東北
↘	右下箭頭	右下箭頭 | 方向 | 東南
↙	左下箭頭	左下箭頭 | 方向 | 西南
↚	帶有刪除線的向左箭頭	帶有刪除線的向左箭頭
↛	帶有刪除線的向右箭頭	帶有刪除線的向右箭頭
↜	向左波浪箭頭	向左波浪箭頭
↝	向右波浪箭頭	向右波浪箭頭
↞	向左雙頭箭頭	向左雙頭箭頭
↟	向上雙頭箭頭	向上雙頭箭頭
↠	向右雙頭箭頭	向右雙頭箭頭
↡	向下雙頭箭頭	向下雙頭箭頭
↢	帶有尾巴的向左箭頭	帶有尾巴的向左箭頭
↣	帶有尾巴的向右箭頭	帶有尾巴的向右箭頭
↤	尾部帶槓的向左箭頭	尾部帶槓的向左箭頭
↥	尾部帶槓的向上箭頭	尾部帶槓的向上箭頭
↦	尾部帶槓的向右箭頭	尾部帶槓的向右箭頭
↧	尾部帶槓的向下箭頭	尾部帶槓的向下箭頭
↨	處於基線的上下箭頭	處於基線的上下箭頭
↩	向左彎的右箭頭	右轉箭頭 | 向左彎的右箭頭
↪	向右彎的左箭頭	向右彎的左箭頭 | 左轉箭頭
↫	尾部帶環的向左箭頭	尾部帶環的向左箭頭
↬	尾部帶環的向右箭頭	尾部帶環的向右箭頭
↭	左右波浪箭頭	左右波浪箭頭
↮	帶有刪除線的左右箭頭	帶有刪除線的左右箭頭
↯	向下鋸齒形箭頭	向下鋸齒形箭頭
↰	頭朝左的向上箭頭	頭朝左的向上箭頭
↱	頭朝右的向上箭頭	頭朝右的向上箭頭
↲	頭朝左的向下箭頭	頭朝左的向下箭頭
↳	頭朝右的向下箭頭	頭朝右的向下箭頭
↴	角朝下的向右箭頭	角朝下的向右箭頭
↵	角朝左的向下箭頭	角朝左的向下箭頭
↶	逆時針上半圓箭頭	逆時針上半圓箭頭
↷	順時針上半圓箭頭	順時針上半圓箭頭
↸	指向長槓的西北箭頭	指向長槓的西北箭頭
↹	頭部帶槓的向左箭頭在上，頭部帶槓的向右箭頭在下	頭部帶槓的向左箭頭在上，頭部帶槓的向右箭頭在下
↺	逆時針開口循環箭頭	逆時針開口循環箭頭
↻	順時針開口循環箭頭	順時針開口循環箭頭
↼	倒鉤在上的向左魚叉	倒鉤在上的向左魚叉
↽	倒鉤在下的向左魚叉	倒鉤在下的向左魚叉
