# CLDR symbol names for zh_Hant_HK: symbol, tts name, keywords
# cldr-version	48
# source	https://unicode.org/Public/cldr/48/cldr-common-48.zip
# sha256	06c7c698d6fd8d67cefac15a0206b0109b00e0ef1636f86f84449fa959561f74
# Generated by tools/cldr_symbol_names.py; do not edit.
+		加 | 加號 | 新增
,	逗號	逗號
=		等於 | 等號
|		垂直線條 | 條狀 | 棍狀 | 線條 | 謝費爾豎線 | 豎立條形圖 | 豎線
~	波浪線	波浪線
¢	仙	仙 | 分
¥	日圓符號	日圓 | 日圓符號 | 日幣 | 日本 | 貨幣
©		© | c | 版權
«		V 字型 | 向左 | 左書名號 | 引號 | 括號 | 插入符號 | 角度
¬	否定	否 | 否定
®		® | R | 商標 | 註冊
±	加減	
µ	微的符號	微的符號 | 測量
»		V 字型 | 右書名號 | 向右 | 引號 | 括號 | 插入符號 | 角度
៛	柬埔寨里爾	
‸	插入符號	插入符號
‼	雙感嘆號	!! | ！！ | 感嘆號 | 標記 | 標點符號 | 雙感嘆號 | 驚訝
‽	疑問感歎號	疑問感歎號
⁂	三星標記	三星標記
⁉	感嘆號加問號	!? | ！？ | ?! | 問號 | 感嘆號 | 感嘆號加問號 | 感嘆號問號 | 標記 | 標點 | 標點符號
₡	哥斯達黎加科郎	
₦	尼日利亞奈拉	
₭	老撾基普	
₱	披索	
₵	加納塞地	
₸	哈薩克坦吉	
₼	亞塞拜疆馬納特	
₾	格魯吉亞拉里	
™		tm | 商標
ℹ	資料	i | 查詢 | 詢問處 | 資料 | 資訊
←	向左箭嘴	向左 | 向左箭嘴 | 箭嘴
↑	向上箭嘴	向上 | 向上箭嘴 | 箭嘴
→	向右箭嘴	向右 | 向右箭嘴 | 箭嘴
↓	向下箭嘴	向下 | 向下箭嘴 | 箭嘴
↔	左右箭嘴	左右箭咀 | 左右箭嘴 | 箭咀
↕	上下箭嘴	上下箭咀 | 上下箭嘴 | 箭咀
↖	上左箭嘴	上左箭嘴 | 左上箭咀 | 方向 | 箭咀 | 西北
↗	上右箭嘴	上右箭嘴 | 右上箭咀 | 方向 | 東北 | 箭咀
↘	下右箭嘴	下右箭嘴 | 下跌 | 右下箭咀 | 方向 | 東南 | 箭咀
↙	下左箭嘴	下左箭嘴 | 左下箭咀 | 方向 | 箭咀 | 西南
↜	波浪左箭嘴	波浪左箭嘴
↝	波浪右箭嘴	波浪右箭嘴
↞	向左雙頭箭嘴	向左雙頭箭嘴
↟	向上雙頭箭嘴	向上雙頭箭嘴
↠	向右雙頭箭嘴	向右雙頭箭嘴
↡	向下雙頭箭嘴	向下雙頭箭嘴
↢	有尾巴的向左箭嘴	有尾巴的向左箭嘴
↣	有尾巴的向右箭嘴	有尾巴的向右箭嘴
↤	尾部帶槓的向左箭嘴	尾部帶槓的向左箭嘴
↥	尾部帶槓的向上箭嘴	尾部帶槓的向上箭嘴
↦	尾部帶槓的向右箭嘴	尾部帶槓的向右箭嘴
↧	尾部帶槓的向下箭嘴	尾部帶槓的向下箭嘴
↨	處於基線的上下箭嘴	處於基線的上下箭嘴
↩	向左彎嘅右箭嘴	右箭咀轉左 | 向左彎嘅右箭嘴 | 箭咀 | 調轉
↪	向右彎嘅左箭嘴	向右彎嘅左箭嘴 | 左箭咀轉右 | 箭咀 | 調轉
↫	尾部帶環的向左箭嘴	尾部帶環的向左箭嘴
↬	尾部帶環的向右箭嘴	尾部帶環的向右箭嘴
↭	左右波浪箭嘴	左右波浪箭嘴
↯	向下鋸齒形箭嘴	向下鋸齒形箭嘴
↰	頭朝左的向上箭嘴	頭朝左的向上箭嘴
↱	頭朝右的向上箭嘴	頭朝右的向上箭嘴
↲	頭朝左的向下箭嘴	頭朝左的向下箭嘴
↳	頭朝右的向下箭嘴	頭朝右的向下箭嘴
↴	角朝下的向右箭嘴	角朝下的向右箭嘴
↵	角朝左的向下箭嘴	角朝左的向下箭嘴
↶	逆時針上半圓箭嘴	逆時針上半圓箭嘴
↷	順時針上半圓箭嘴	順時針上半圓箭嘴
↸	指向長槓的西北箭嘴	指向長槓的西北箭嘴
↹	頭帶槓的向左箭嘴在頭帶槓的向右箭嘴上面	頭帶槓的向左箭嘴在頭帶槓的向右箭嘴上面
↺	逆時針開口循環箭嘴	逆時針開口循環箭嘴
↻	順時針開口循環箭嘴	順時針開口循環箭嘴
↼	倒鉤在上面的向左魚叉	倒鉤在上面的向左魚叉
↽	倒鉤在下面的向左魚叉	倒鉤在下面的向左魚叉
↾	倒鉤在右邊的向上魚叉	倒鉤在右邊的向上魚叉
↿	倒鉤在左邊的向上魚叉	倒鉤在左邊的向上魚叉
⇀	倒鉤在上面的向右魚叉	倒鉤在上面的向右魚叉
⇁	倒鉤在下面的向右魚叉	倒鉤在下面的向右魚叉
⇂	倒鉤在右邊的向下魚叉	倒鉤在右邊的向下魚叉
⇃	倒鉤在左邊的向下魚叉	倒鉤在左邊的向下魚叉
⇄	向右箭嘴在向左箭嘴的上面	向右箭嘴在向左箭嘴的上面
⇅	上下並列箭嘴	上下並列箭嘴 | 向上 | 向下 | 箭嘴
⇆	向左箭嘴在向右箭嘴上邊	向右 | 向左 | 向左箭嘴在向右箭嘴上邊 | 箭嘴
⇇	一對向左箭嘴	一對向左箭嘴
⇈	一對向上箭嘴	一對向上箭嘴
⇉	一對向右箭嘴	一對向右箭嘴
⇊	一對向下箭嘴	一對向下箭嘴
⇋	向左魚叉在向右魚叉的上面	向左魚叉在向右魚叉的上面
⇌	向右魚叉在向左魚叉的上面	向右魚叉在向左魚叉的上面
⇍	有刪除線的向左雙箭嘴	有刪除線的向左雙箭嘴
