# CLDR symbol names for zu: symbol, tts name, keywords
# cldr-version	48
# source	https://unicode.org/Public/cldr/48/cldr-common-48.zip
# sha256	06c7c698d6fd8d67cefac15a0206b0109b00e0ef1636f86f84449fa959561f74
# icu-version	78.3
# unicode-version	17.0
# Generated by tools/cldr_symbol_names.py; do not edit.
!	umbabazi	bang | exclamation | exclamation mark | exclamation point | umbabazi
#	uphawu lwe-hash	hash | hash sign | hashtag | inamba | lb | pound | uphawu lwe-hash
$	i-dollar	i-dollar | i-peso | i-USD | imali
%	iphesenti	iphesenti
&	ampersand	ampersand
'	i-aphostrofi yokuthayipha	i-aphostrofi | i-aphostrofi yokuthayipha | isilinganiso | isilinganiso esisodwa
)	ubuzali obusondelene	paren | parens | parenthesis | ubakaki | ubakaki oyindilinga | ubuzali obusondelene
*	asterisk	asterisk | star | wildcard
+	uphawu lokuhlanganisa	hlanganisa | uphawu lokuhlanganisa | yengeza
,	ukhefana	ukhefana
-	i-hyphen-minus	i-hyphen | i-hyphen-minus | susa | udeshi
.	isikhathi	ichashazi | isikhathi | ungqi
/	isleshi	isleshi | isthrokhi | oblique | slash | solidus | virgule | whack
:	ikholoni	ikholoni
;	isemikholoni	isemikholoni | semi-colon | semicolon
<	ncane kune	ithegi | ncane kune | vula ithegi
=	lingana	lingana | okulingana
>	khulu kuno	ithegi | khulu kuno | vala ithegi
?	umbuzi	umbuzi | umbuzo
@	at-sign	at-sign
[	ubakaki wesikwele ovulekile	ikhroshethi | ubakaki | ubakaki oyisikwele | ubakaki wesikwele ovulekile
\	backslash	backslash | reverse solidus | whack
]	vala ubakaki oyisikwele	ikhroshethi | ubakaki | ubakaki oyisikwele | vala ubakaki oyisikwele
^	circumflex accent	amandla | circumflex | control | I-chevron | inkomba | isibonakaliso se-xor | isigqoko | isimangalo | ukunakekelwa | wedge
_	umugqa ophansi	dwebela | udeshi | udeshi ophansi | umugqa | umugqa ophansi | underdash
`	grave accent	accent | grave | tone
{	ubakaki ovulekile	i-gullwing | ubakaki | ubakaki ogobile | ubakaki ovulekile
|	umugqa ome mpo	ibha | ibha yokuqonda mpo | induku | ipayipi | ipiki | umugqa | umugqa ome mpo | unhlangothi | unhlangothi owu-sheffer | vbar
}	vala ubakaki ogobile	i-gullwing | ubakaki | ubakaki ogobile | vala ubakaki ogobile
~	i-tilde	i-tilde
¡	isibabazo esihlanekezelwe	bang | exclamation | exclamation mark | exclamation point | inverted | isibabazi esihlanekezelwe | isibabazo esihlanekezelwe
¢	i-cent	i-cent
£	i-pound	EGP | GBP | i-currency | i-pound | pound
¤	imali engaziwa	
¥	i-yen	currency | I-CNY | i-yen | JPY | yen | yuan
§	i-section	i-section | ingxenye | isigaba | silcrow
¨	i-diaeresis	i-diaeresis | i-tréma | i-umlaut
©	ilungelo lokukopisha	ilungelo lokukopisha
«	i-guillement ekwesobunxele	amabrakhethi | carets | chevron | i-angle | i-guillement ekwesobunxele | i-guillment ekwesobunxele | kwesobunxele | ukucaphuna
¬	i-negation	hhayi | i-negation | ukuphikisa
®	okubhalisiwe	okubhalisiwe
°	i-degree	i-degree | ihora | ubufakazi
±	hlanganisa-susa	hlanganisa-susa
²	i-superscript two	i-squared | i-superscript two | superscript | two
³	i-superscript three	i-cubed | i-superscript three | superscript | three
´	isimangalo esibi	i-acute | isimangalo | isimangalo esibi | ithoni
µ	i-micro sign	i-micro sign | kala | micro sign
¶	uphawu lwesigaba	alinea | isigaba | paragraph | paragraph mark | pilcrow | uphawu lwesigaba
·	ichashaza eliphakathi nendawo	ichashaza | ichashaza eliphakathi nendawo | interpunct | middot | phakathi nendawo
¹	i-superscript one	i-one | i-superscript one | superscript
»	i-guillement ekwesokudla	amabrakhethi | carets | chevron | i-angle | i-guillement ekwesokudla | kwesokudla | ukucaphuna
¿	umbuzi ohlanekezelwe	inverted | umbuzi | umbuzi ohlanekezelwe | umbuzo
×	uphawu lokuphindaphinda	izikhathi | ukuphindaphinda | uphawu lokuphindaphinda
÷	uphawu lokuhlukanisa	hlukanisa | obelus | ukuhlukanisa | uphawu lokuhlukanisa
֏	i-Armenian Dram	
؋	i-Afghan Afghani	
،	ukhefana wama-arabic	ukhefana wama-arabic
؛	isemikholoni ye-arabic	arabic | arabic semicolon | isemikholoni ye-arabic | semi-colon
؟	umbuzi wesi-arabic	arabic | arabic question mark | question | umbuzi | umbuzi wesi-arabic
৳	i-Bangladeshi Taka	
฿	i-Thai Baht	
៛	i-Cambodian Riel	
‐	i-hyphen	i-hyphen | udeshi
–	i-en dash	en | i-dash | i-en dash
—	i-em dash	em | i-dash | i-em dash
―	ibha evundlile	ibha | ibha evundlile | udeshi | ulayini
‘	i-aphostrofi yakwesokunxele	i-aphostrof | i-aphostrofi yakwesokunxele | isilinganiso | isilinganiso esihlakaniphile | isilinganiso esisodwa
’	i-aphostrofi yakwesokudla	i-aphostrofi | i-aphostrofi yakwesokudla | isilinganiso | isilinganiso esihlakaniphile | isilinganiso esisodwa
‚	umphikisi wesokudla ophansi	i-aphostrofi | isicaphuni | isilinganiso esiphansi | umphikisi wesokudla ophansi
“	uphawu lwesicaphuni lwesobunxele	isicaphuni | isilinganiso kabili | ukucaphuna | ukucaphuna okuhle | uphawu lwesicaphuni lwesobunxele
”	uphawu lwesicaphuni lwesokudla	isicaphuni | isicaphuni esiphindwe kabili | ukucaphuna | ukucaphuna okuhlakaniphile | uphawu lwesicaphuni lwesokudla
„	uphawu locaphuna oluphansi kwesokudla	isicaphuni | isicaphuni esiphindwe kabili | ukucaphuna | ukucaphuna okuhlakaniphile | uphawu locaphuna oluphansi kwesokudla
†	uphawu lwe-dagger	dagger | obelisk | obelus | uphawu lwe-dagger
‡	uphawu lwe-dagger oluphindeke kabili	i-dagger | obelisk | obelus | phinda kabili | uphawu lwe-dagger oluphindeke kabili
•	ichashaza	ichashaza | ungqi
…	i-ellipsis	amachashazi | i-ellipsis | okusalayo
‧	iphuzu le-hyphenation	i-hyphen | iphuzu | iphuzu le-hyphenation | udeshi
